time,geo_value,geo_type,covid,Season,flu,rsv
2025-01-25,West,OH Region,188,2024-2025,157,71
2025-01-18,Central,OH Region,197,2024-2025,120,52
2025-01-18,East,OH Region,181,2024-2025,107,65
2025-01-18,North East,OH Region,40,2024-2025,14,12
2025-01-18,North West,OH Region,18,2024-2025,9,5
2025-01-18,Ontario,Province,883,2024-2025,543,314
2025-01-18,Toronto,OH Region,204,2024-2025,150,105
2025-01-18,West,OH Region,242,2024-2025,141,72
2025-01-11,Central,OH Region,229,2024-2025,127,77
2025-01-11,East,OH Region,234,2024-2025,93,86
2025-01-11,North East,OH Region,38,2024-2025,30,14
2025-01-11,North West,OH Region,25,2024-2025,8,2
2025-01-11,Ontario,Province,1017,2024-2025,501,374
2025-01-11,Toronto,OH Region,213,2024-2025,135,97
2025-01-11,West,OH Region,278,2024-2025,105,96
2025-01-04,Central,OH Region,221,2024-2025,106,72
2025-01-04,East,OH Region,256,2024-2025,59,74
2025-01-04,North East,OH Region,42,2024-2025,22,14
2025-01-04,North West,OH Region,22,2024-2025,9,3
2025-01-04,Ontario,Province,1043,2024-2025,420,345
2025-01-04,Toronto,OH Region,189,2024-2025,131,100
2025-01-04,West,OH Region,312,2024-2025,90,81
2024-12-28,Central,OH Region,163,2024-2025,83,51
2024-12-28,East,OH Region,247,2024-2025,24,50
2024-12-28,North East,OH Region,28,2024-2025,3,9
2024-12-28,North West,OH Region,11,2024-2025,5,3
2024-12-28,Ontario,Province,870,2024-2025,227,242
2024-12-28,Toronto,OH Region,136,2024-2025,61,66
2024-12-28,West,OH Region,284,2024-2025,49,63
2024-12-21,Central,OH Region,159,2024-2025,43,38
2024-12-21,East,OH Region,181,2024-2025,21,55
2024-12-21,North East,OH Region,44,2024-2025,1,6
2024-12-21,North West,OH Region,11,2024-2025,2,1
2024-12-21,Ontario,Province,795,2024-2025,150,202
2024-12-21,Toronto,OH Region,135,2024-2025,54,54
2024-12-21,West,OH Region,263,2024-2025,27,46
2024-12-14,Central,OH Region,134,2024-2025,24,28
2024-12-14,East,OH Region,152,2024-2025,9,48
2024-12-14,North East,OH Region,43,2024-2025,0,8
2024-12-14,North West,OH Region,14,2024-2025,1,1
2024-12-14,Ontario,Province,726,2024-2025,68,172
2024-12-14,Toronto,OH Region,146,2024-2025,18,48
2024-12-14,West,OH Region,236,2024-2025,15,40
2024-12-07,Central,OH Region,117,2024-2025,9,22
2024-12-07,East,OH Region,134,2024-2025,10,43
2024-12-07,North East,OH Region,32,2024-2025,0,9
2024-12-07,North West,OH Region,11,2024-2025,0,0
2024-12-07,Ontario,Province,605,2024-2025,30,132
2024-12-07,Toronto,OH Region,129,2024-2025,5,36
2024-12-07,West,OH Region,182,2024-2025,6,25
2024-11-30,Central,OH Region,107,2024-2025,5,20
2024-11-30,East,OH Region,152,2024-2025,5,32
2024-11-30,North East,OH Region,41,2024-2025,0,5
2024-11-30,North West,OH Region,11,2024-2025,0,0
2024-11-30,Ontario,Province,630,2024-2025,18,108
2024-11-30,Toronto,OH Region,114,2024-2025,3,32
2024-11-30,West,OH Region,205,2024-2025,7,21
2024-11-23,Central,OH Region,108,2024-2025,2,11
2024-11-23,East,OH Region,157,2024-2025,3,31
2024-11-23,North East,OH Region,45,2024-2025,0,5
2024-11-23,North West,OH Region,19,2024-2025,0,0
2024-11-23,Ontario,Province,660,2024-2025,15,85
2024-11-23,Toronto,OH Region,103,2024-2025,3,24
2024-11-23,West,OH Region,223,2024-2025,5,15
2024-11-16,Central,OH Region,111,2024-2025,3,11
2024-11-16,East,OH Region,167,2024-2025,2,22
2024-11-16,North East,OH Region,50,2024-2025,0,5
2024-11-16,North West,OH Region,14,2024-2025,0,0
2024-11-16,Ontario,Province,688,2024-2025,15,59
2024-11-16,Toronto,OH Region,95,2024-2025,3,13
